Category,Name,Type
Selected,ncdu,rpm
Selected,p7zip / unzip,rpm
Selected,zstd,rpm
Selected,jq,rpm
Selected,htop,rpm
Selected,powertop,rpm
Selected,pass,rpm
Selected,stow,rpm
Selected,grub-reboot,rpm
Selected,usbutils,rpm
Selected,pciutils,rpm
Selected,pcp,rpm
Selected,smartmontools,rpm
Selected,nvme-cli,rpm
Selected,lm_sensors,rpm
Selected,lsof,rpm
Selected,strace,rpm
Selected,iotop,rpm
Selected,gnupg,rpm
Selected,zsh,rpm
Selected,anaconda,rpm
Selected,anaconda-tui,rpm
Selected,tmux,rpm
Selected,ncurses,rpm
Selected,wavemon,rpm
Selected,firewalld,rpm
Selected,tailscale,rpm
Selected,wireguard-tools,rpm
Selected,nmap,rpm
Selected,mtr,rpm
Selected,netcat / socat,rpm
Selected,tcpdump,rpm
Selected,podman,rpm
Selected,flatpak,rpm
Selected,distrobox,rpm
Selected,gcc / c / c++,rpm
Selected,make,rpm
Selected,python,rpm
Selected,ruby,rpm
Selected,android-tools,rpm
Selected,ffmpeg-free,rpm
Selected,cockpit,rpm
Selected,docker-buildx,rpm
Selected,docker-compose,rpm
Selected,podman-compose,rpm
Selected,libvirt-client,rpm
Selected,daemon-kvm / libvirtd,rpm
Selected,virt-install,rpm
Selected,zfs,rpm
Selected,Duperemove,rpm
Selected,samba,rpm
Selected,mergerfs,rpm
Selected,nfs-utils,rpm
Selected,rclone,rpm
Selected,snapraid,rpm
Selected,sanoid,rpm
Selected,eza,bin
Selected,lsd,bin
Selected,yazi,bin
Selected,superfile,bin
Selected,zoxide,bin
Selected,fd,bin
Selected,fzf,bin
Selected,dust,bin
Selected,broot,bin
Selected,bat,bin
Selected,ripgrep (rg),bin
Selected,yq,bin
Selected,grex,bin
Selected,sd,bin
Selected,tv,bin
Selected,btop,bin
Selected,bottom,bin
Selected,chezmoi,bin
Selected,Zellij,bin
Selected,starship,bin
Selected,atuin,bin
Selected,navi,bin
Selected,tealdeer,bin
Selected,ttyd,bin
Selected,bluetui,bin
Selected,impala,bin
Selected,croc,bin
Selected,speedtest-cli,bin
Selected,axel,bin
Selected,wiremix,bin
Selected,newsboat,bin
Selected,lynx,bin
Selected,wttr.in,bin
Selected,neovim,bin
Selected,gh,bin
Selected,lazygit,bin
Selected,branchlet,bin
Selected,cargo,bin
Selected,cargo-seek,bin
Selected,rust,bin
Selected,go,bin
Selected,asciinema,bin
Selected,pastel,bin
Selected,faker,bin
Selected,cbonsai,bin
Selected,lolcat,bin
Selected,hollywood,bin
Selected,discordo,bin
Selected,jrnl,bin
Selected,smassh,bin
Selected,stormy,bin
Selected,taproom,bin
Selected,hygg,bin
Selected,fastfetch,bin
Selected,neofetch,bin
Selected,sl,bin
Selected,cmatrix,bin
Selected,pipes.sh,bin
Selected,figlet,bin
Selected,toilet,bin
Selected,cava,bin
Selected,cacafire,bin
Selected,jp2a,bin
Selected,cockpit-zfs-manager,bin
